id,education,marital_status,income,num_kid,num_teen,days_last_purchases,total_juice_expenses,total_fruit_expenses,total_meat_expenses,total_fish_expenses,total_sweet_expenses,num_deal_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_per_month
8026,Graduation,Married,62998.0,0,1,10,120,58,73,65,89,5,5,4,5,5
433,Master,Alone,61331.0,1,1,42,534,5,47,0,5,5,11,1,6,8
9597,Graduation,Married,73448.0,0,0,10,236,106,189,23,41,1,7,2,9,4
1295,Graduation,Married,,0,1,96,231,65,196,38,71,1,6,5,7,4
5290,PhD,Married,41551.0,1,1,51,220,0,33,3,0,5,5,1,5,8
1685,PhD,Together,62981.0,0,0,21,796,14,590,38,44,1,4,5,13,3
5342,Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,2,1,0,3,8
9579,PhD,Married,33762.0,2,1,61,53,1,34,2,0,3,2,2,2,8
7660,PhD,Alone,35860.0,1,1,37,15,0,8,4,2,2,1,1,2,5
1461,PhD,Divorced,36921.0,1,1,74,17,1,12,3,1,2,2,0,3,7
821,Master,Single,92859.0,0,0,46,962,61,921,52,61,1,5,4,12,2
11084,Master,Together,65104.0,0,1,4,738,0,232,13,20,2,3,5,7,7
8690,Graduation,Married,86111.0,0,0,73,399,28,756,36,40,1,5,7,10,2
2937,PhD,Single,68352.0,0,1,47,614,16,132,43,33,3,8,5,9,6
9701,Graduation,Together,41883.0,1,0,13,32,34,41,73,16,3,4,2,3,7
9949,Graduation,Married,59809.0,0,2,36,598,16,141,32,41,3,3,3,6,8
10837,Graduation,Married,23957.0,1,0,47,2,1,18,20,11,1,2,0,3,6
3120,Graduation,Together,38547.0,1,0,49,6,1,10,0,1,1,1,0,2,8
5885,2n Cycle,Married,35688.0,2,1,94,73,3,90,12,1,7,4,1,4,8
4050,Master,Married,49605.0,0,0,65,42,16,29,12,20,1,2,1,4,3
3830,Master,Married,59354.0,0,2,59,295,21,78,39,13,1,4,4,7,3
7987,Graduation,Married,65747.0,0,1,96,346,17,48,23,13,4,8,1,6,6
7798,2n Cycle,Together,46344.0,0,1,28,233,20,57,8,20,4,7,1,5,7
92,Graduation,Alone,34176.0,1,0,12,5,7,24,19,14,4,3,0,4,6
7055,PhD,Together,61010.0,0,1,57,888,0,57,0,0,2,8,5,11,5
10240,Graduation,Together,69372.0,0,0,10,997,26,269,34,13,1,10,4,6,4
3025,Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,6,1,5,7
9283,Graduation,Single,60199.0,1,2,49,8,1,7,2,0,1,0,0,3,4
9970,Graduation,Together,55375.0,0,1,3,42,11,57,10,28,1,1,1,6,2
2730,Graduation,Single,80317.0,0,0,64,536,11,387,149,91,1,3,4,10,1
2795,Master,Single,30523.0,2,1,0,5,0,3,0,0,1,1,0,2,7
9260,PhD,Married,70356.0,0,0,20,1349,16,249,43,16,2,10,6,9,6
8182,Graduation,Married,23228.0,1,0,91,53,3,49,7,4,4,3,0,4,8
10095,PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,1,5,4,10,2
8475,PhD,Married,157243.0,0,1,98,20,2,1582,1,2,15,0,22,0,0
4370,Graduation,Together,43482.0,2,1,83,18,1,32,6,3,3,2,0,4,6
10573,Graduation,Divorced,62551.0,0,0,27,125,16,98,134,21,1,6,7,4,3
3712,Graduation,Divorced,52332.0,0,0,63,212,5,33,7,0,1,3,2,6,4
6637,Graduation,Single,66951.0,0,0,46,277,162,305,173,76,1,3,4,7,1
3152,Graduation,Together,26091.0,1,1,84,15,10,19,8,17,3,2,1,3,5
5610,Graduation,Together,33456.0,1,1,58,7,3,10,8,1,2,1,0,3,7
6460,Graduation,Married,28718.0,1,0,78,12,4,6,11,8,2,2,0,3,8
1349,Graduation,Married,50447.0,2,0,4,85,7,24,2,3,1,3,1,3,6
1880,PhD,Together,53537.0,1,1,17,81,0,6,0,0,2,2,1,3,5
641,Graduation,Single,52074.0,0,1,77,59,0,12,0,0,1,2,2,2,4
8717,PhD,Married,80427.0,0,1,56,1149,71,449,69,71,1,11,8,8,5
10314,PhD,Married,83837.0,0,0,79,847,66,119,86,89,1,9,10,5,4
10854,PhD,Married,38853.0,1,1,90,29,0,14,0,0,2,2,0,3,7
10492,Graduation,Together,38285.0,2,1,96,2,0,5,2,0,1,0,0,3,2
6935,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,1,5,7,12,2
7698,PhD,Married,51650.0,0,1,81,152,3,22,2,5,1,4,1,4,5
3559,2n Cycle,Married,16248.0,1,0,77,12,11,10,3,12,3,2,1,3,6
10562,Master,Married,66835.0,0,0,21,620,26,195,34,17,1,6,4,13,2
10796,Master,Married,30477.0,1,0,16,47,1,6,0,0,1,1,1,3,6
2563,Basic,Married,28249.0,0,0,80,1,9,7,2,14,1,2,0,3,6
3518,Graduation,Married,25271.0,1,0,45,10,1,18,10,4,1,1,1,2,9
5823,PhD,Single,32303.0,0,1,63,35,0,2,0,0,2,1,0,4,5
3934,Graduation,Married,61286.0,0,1,34,356,0,107,19,9,2,7,1,8,5
6982,Graduation,Married,74068.0,0,0,14,783,30,537,140,76,1,4,10,9,2
6431,PhD,Married,45759.0,1,1,13,42,1,18,3,0,2,2,0,3,7
9733,Basic,Together,24882.0,1,0,52,1,4,10,29,0,1,1,1,2,6
5602,PhD,Together,66973.0,0,0,98,466,22,432,147,113,1,8,7,12,3
7829,2n Cycle,Divorced,36640.0,1,0,99,15,6,8,7,4,1,2,1,2,5
1324,Graduation,Married,38872.0,1,0,93,23,3,21,3,19,2,3,0,3,8
326,Graduation,Married,51148.0,1,1,38,235,6,45,8,9,4,5,1,6,6
7224,Graduation,Married,31353.0,1,1,24,10,0,10,3,1,2,1,1,2,8
6999,Master,Married,69661.0,0,0,80,656,16,106,32,16,1,7,3,12,3
9938,Graduation,Married,80067.0,0,0,82,519,17,813,27,173,1,4,6,6,2
6422,Graduation,Married,86718.0,0,0,20,344,189,482,50,33,1,5,6,5,2
3182,PhD,Single,46854.0,1,1,81,96,1,79,7,1,6,5,1,3,8
7300,Graduation,Divorced,69142.0,0,1,50,448,4,34,6,4,3,8,1,7,5
10424,Graduation,Single,75922.0,0,0,60,265,138,553,224,23,1,4,4,9,1
8727,Graduation,Divorced,63693.0,0,1,63,587,43,337,42,87,3,11,6,9,6
2798,PhD,Together,102160.0,0,0,54,763,29,138,76,176,0,7,9,10,4
1030,PhD,Single,40637.0,1,1,72,22,0,13,0,0,2,1,0,3,7
624,Master,Single,18890.0,0,0,5,6,4,1,7,2,1,0,1,2,6
5176,Graduation,Together,29604.0,1,0,88,7,6,13,7,6,1,1,0,3,9
5552,Master,Divorced,48721.0,1,1,50,81,18,113,47,13,6,4,2,5,6
868,Graduation,Married,44794.0,0,1,99,54,0,7,0,0,1,2,0,3,6
380,Graduation,Divorced,64497.0,0,1,17,1170,48,320,42,32,5,11,4,9,8
2677,Graduation,Together,46097.0,0,1,11,72,24,68,65,4,5,3,1,6,4
6521,Graduation,Together,77972.0,0,0,18,613,22,319,33,102,1,4,6,9,1
6927,PhD,Married,44377.0,1,1,70,224,0,30,0,0,8,5,1,5,8
2877,Master,Together,46014.0,1,1,21,410,0,59,19,9,10,7,1,8,7
0,Graduation,Married,70951.0,0,0,66,239,10,554,254,87,1,3,4,9,1
1584,Graduation,Married,41443.0,1,0,79,171,7,171,25,19,6,8,1,5,8
7264,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,0,2,8
6274,Master,Married,83790.0,0,0,81,1076,16,417,42,48,1,8,10,6,3
1377,Master,Widow,44551.0,0,1,24,182,4,33,0,0,2,4,1,5,7
454,Graduation,Together,69508.0,1,0,48,824,32,162,42,32,2,11,4,11,6
1755,2n Cycle,Together,45204.0,1,0,93,30,11,25,29,1,1,1,1,4,3
2075,Graduation,Married,72460.0,0,0,56,377,10,540,80,30,1,3,5,7,1
4785,PhD,Together,77622.0,0,2,3,520,7,154,19,0,2,6,3,11,3
9076,PhD,Married,30732.0,1,0,44,155,1,25,0,1,4,4,1,4,8
7079,Graduation,Divorced,63887.0,0,1,38,897,23,207,15,11,5,9,6,12,6
4653,Graduation,Together,42011.0,1,0,46,131,0,16,2,1,4,3,1,4,8
7375,Graduation,Together,51369.0,0,1,84,297,7,79,0,11,2,8,2,4,8
709,Graduation,Divorced,51537.0,0,1,27,787,20,204,0,0,3,2,2,11,8
460,PhD,Married,79930.0,0,0,72,792,86,740,67,51,1,3,5,8,2
3726,PhD,Together,34320.0,1,0,66,4,1,9,3,0,1,1,0,2,8
6798,Graduation,Single,37070.0,1,1,30,231,7,137,4,15,9,5,1,8,7
5341,2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,1,6,3,4,7
1606,Graduation,Together,38590.0,1,0,65,3,1,8,4,3,1,1,0,2,8
9617,Graduation,Single,15033.0,0,0,37,0,4,5,6,0,1,1,0,3,3
3233,PhD,Married,62745.0,0,1,89,562,21,464,28,10,3,7,8,11,5
89,2n Cycle,Married,22212.0,1,0,49,5,9,20,6,8,2,2,0,4,6
2936,Master,Together,23661.0,1,0,46,18,0,4,0,0,1,1,0,3,7
9449,PhD,Single,79761.0,0,1,32,415,5,124,15,35,1,5,2,11,3
7297,Graduation,Single,7500.0,1,0,54,5,3,10,12,7,4,3,1,3,7
11004,2n Cycle,Single,60182.0,0,1,23,8,0,5,7,0,1,1,0,2,4
313,Graduation,Widow,73455.0,0,0,98,901,61,757,186,163,1,6,5,10,3
9940,Graduation,Together,64961.0,0,1,97,382,114,276,75,124,2,6,4,4,3
10735,Graduation,Single,22804.0,1,0,75,14,1,7,2,1,1,2,0,2,9
9529,Graduation,Married,73687.0,0,0,8,559,153,503,218,13,1,3,9,9,2
6439,Graduation,Married,61074.0,0,1,37,789,0,133,0,28,7,11,5,8,7
7411,PhD,Married,31686.0,1,1,31,11,0,5,0,0,2,1,0,3,6
2176,Graduation,Married,80134.0,1,0,40,1218,16,272,104,0,2,5,3,6,6
9265,Graduation,Married,75027.0,0,1,74,925,64,179,133,12,2,9,4,6,5
8867,PhD,Married,67546.0,0,0,90,864,134,768,150,38,1,4,10,5,3
8932,Master,Together,65176.0,0,1,57,960,28,183,220,70,4,9,6,6,6
10236,Master,Single,31160.0,1,0,59,16,3,25,6,1,2,2,0,3,8
6340,Graduation,Single,29938.0,1,0,52,3,3,7,0,2,2,1,0,3,6
10089,Graduation,Divorced,102692.0,0,0,5,168,148,444,32,172,1,6,9,13,2
2227,2n Cycle,Together,26490.0,0,0,92,45,47,52,21,20,2,3,1,5,6
10992,Graduation,Together,75702.0,1,1,77,650,28,353,45,42,5,4,6,11,8
5304,PhD,Single,30899.0,1,0,35,24,0,8,0,0,2,1,0,3,6
309,PhD,Together,63342.0,0,1,48,918,21,118,13,10,3,8,3,5,6
3406,Graduation,Single,45989.0,0,1,97,138,33,87,28,24,4,3,2,7,3
2661,Graduation,Single,18701.0,1,1,95,12,4,2,10,6,4,2,0,4,5
3153,PhD,Single,40737.0,2,1,24,11,0,4,0,0,1,1,0,2,8
10264,Graduation,Divorced,15287.0,1,0,60,1,2,8,4,3,2,1,1,2,7
1184,PhD,Divorced,69674.0,0,2,46,554,41,215,11,0,3,10,2,10,5
4200,Master,Married,44159.0,1,0,85,167,2,62,24,13,4,4,1,6,5
9396,PhD,Married,37717.0,1,0,31,9,0,6,4,1,1,1,0,2,9
2387,Master,Together,43776.0,1,1,9,177,2,71,3,2,6,5,2,4,8
6690,Master,Married,38179.0,1,1,30,38,4,22,4,2,4,3,1,3,7
1225,Graduation,Married,80124.0,0,0,47,483,84,398,205,84,1,3,7,8,1
9703,PhD,Married,38097.0,1,1,70,77,2,35,0,1,4,3,2,2,7
291,Graduation,Married,72940.0,0,0,13,182,74,298,162,149,1,3,3,6,1
4557,Graduation,Together,22070.0,1,0,11,10,7,19,8,2,2,2,2,2,6
2379,Graduation,Single,69267.0,0,0,31,778,44,499,95,73,2,3,4,5,7
5726,Master,Single,31788.0,1,0,15,16,7,23,0,8,3,3,0,4,5
3066,PhD,Together,61905.0,0,1,2,167,0,43,6,2,2,4,2,4,5
6336,Graduation,Married,29315.0,1,1,55,13,2,14,8,7,4,2,0,4,6
10967,Graduation,Divorced,33378.0,1,1,38,33,6,40,3,7,3,2,0,4,7
2304,PhD,Together,66313.0,0,1,86,625,7,99,10,22,2,6,3,12,4
3445,Graduation,Single,60714.0,0,0,56,216,162,224,101,92,2,7,4,10,5
7828,Master,Together,77882.0,0,0,29,68,129,396,188,22,1,3,3,5,1
3762,PhD,Single,69867.0,0,0,30,196,0,512,33,130,1,3,5,8,1
4391,Master,Divorced,63841.0,0,1,64,635,15,100,20,7,1,9,3,9,6
4669,Basic,Married,24480.0,1,0,46,4,19,9,28,25,3,3,0,4,7
10144,Graduation,Together,51369.0,0,1,84,297,7,79,0,11,2,8,2,4,8
8652,Graduation,Together,37760.0,0,0,20,84,5,38,150,12,2,4,1,6,7
1672,PhD,Together,65640.0,0,1,74,204,7,149,20,15,1,5,1,8,2
8962,Master,Married,44319.0,1,1,18,26,0,8,0,0,2,2,0,3,5
9974,Graduation,Married,30631.0,1,0,75,15,6,20,4,5,1,3,1,2,7
10983,Graduation,Together,75278.0,0,0,17,304,98,230,150,74,1,6,3,13,3
8148,Master,Together,50898.0,1,1,88,285,28,242,55,114,13,6,2,12,5
10102,Graduation,Widow,79946.0,0,0,19,395,183,565,166,141,1,5,11,5,3
4697,Master,Divorced,35416.0,0,0,62,248,3,81,4,3,3,7,1,5,8
9262,2n Cycle,Together,32414.0,0,0,11,20,6,5,0,9,1,1,0,3,7
7254,Graduation,Together,38361.0,1,0,74,39,0,56,20,8,3,3,1,3,7
4543,Graduation,Married,82497.0,0,0,32,777,129,573,216,21,1,2,7,9,4
4927,Graduation,Together,16626.0,2,0,76,8,3,22,21,1,3,3,0,3,9
10451,Graduation,Together,29672.0,1,1,6,9,1,3,0,4,1,0,0,3,6
2926,Master,Together,55951.0,0,1,62,1241,0,80,0,13,3,3,6,11,8
2874,2n Cycle,Divorced,35388.0,1,0,20,6,4,7,4,3,1,1,0,3,7
9738,Master,Together,42386.0,1,0,43,65,4,16,0,4,1,3,0,3,8
7119,Graduation,Single,68627.0,0,0,45,395,15,263,60,54,1,2,3,6,1
3924,PhD,Divorced,57912.0,0,1,34,801,0,80,0,0,5,8,3,12,5
5827,Graduation,Divorced,35246.0,1,1,53,36,0,12,2,2,4,3,1,3,5
5596,2n Cycle,Together,58821.0,0,1,44,513,14,154,19,0,1,9,2,9,6
10812,PhD,Married,46377.0,1,0,89,37,0,46,4,3,1,2,1,3,4
1717,Graduation,Single,39747.0,1,0,43,80,15,93,20,13,3,5,1,4,8
9491,Graduation,Together,23976.0,1,0,68,14,1,21,2,3,3,3,1,3,7
9274,Master,Married,80950.0,0,0,44,525,147,112,219,147,1,6,7,9,2
6609,Graduation,Widow,27038.0,0,0,64,1,26,25,17,23,1,3,0,3,9
6963,Graduation,Single,77457.0,0,0,85,675,11,400,15,45,1,2,5,10,1
4440,Master,Married,64100.0,0,1,93,509,0,27,0,0,1,8,3,6,7
1379,Master,Together,42670.0,0,0,12,154,2,46,20,4,1,4,2,4,4
10032,Graduation,Divorced,12571.0,1,0,86,3,5,14,2,12,4,3,1,3,6
2826,Graduation,Married,22574.0,2,1,28,25,0,8,2,0,2,2,0,3,7
2437,Graduation,Married,,0,0,69,861,138,461,60,30,1,6,5,12,3
6320,Master,Single,70893.0,0,0,42,768,44,561,77,44,1,6,6,10,3
3050,Graduation,Married,54198.0,1,1,13,185,0,28,3,2,6,3,1,6,4
231,Master,Together,28839.0,1,1,86,24,0,7,0,0,2,2,0,3,5
2392,Graduation,Married,40321.0,1,1,59,44,4,21,6,0,2,3,0,3,7
9478,Graduation,Single,66503.0,1,0,30,91,64,128,65,3,2,4,3,6,3
113,Graduation,Married,30833.0,1,1,33,11,0,7,3,1,2,1,0,3,5
2863,Graduation,Single,,1,2,67,738,20,172,52,50,6,2,3,10,7
1802,Graduation,Married,64795.0,0,1,23,412,5,119,38,29,3,3,3,12,2
520,Graduation,Married,34421.0,1,0,81,3,3,7,6,2,1,1,0,2,7
8275,PhD,Divorced,47025.0,1,1,6,16,0,3,0,0,1,1,0,2,7
9750,PhD,Divorced,64325.0,0,1,41,731,60,353,78,12,5,10,3,5,7
2607,Graduation,Single,40464.0,0,1,78,424,17,118,7,23,6,8,2,8,8
7214,Graduation,Married,62187.0,0,0,49,792,0,275,45,45,1,4,8,5,3
5835,PhD,Divorced,14849.0,1,0,39,21,2,28,3,2,3,2,0,4,8
3896,Graduation,Married,27255.0,1,0,3,22,1,11,0,1,1,1,0,3,7
10350,PhD,Married,54432.0,2,1,37,33,0,5,0,0,1,1,0,3,4
7786,PhD,Single,29999.0,1,0,22,68,7,59,10,5,4,3,1,4,8
