Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,58,1,28.0,0,1-2 Year,No,46812.0,13.0,230,0
Female,41,1,28.0,1,1-2 Year,No,23449.0,152.0,249,0
Female,73,1,3.0,0,1-2 Year,Yes,31808.0,124.0,143,0
Male,32,1,43.0,1,< 1 Year,No,43873.0,152.0,66,0
Male,24,1,50.0,1,< 1 Year,No,25080.0,152.0,66,0
Female,22,1,30.0,1,< 1 Year,No,26362.0,152.0,233,0
Male,22,1,35.0,1,< 1 Year,No,24592.0,152.0,124,0
Female,61,1,7.0,1,1-2 Year,No,59491.0,26.0,258,0
Male,51,1,8.0,0,1-2 Year,No,28341.0,124.0,213,0
Male,49,1,29.0,0,1-2 Year,Yes,2630.0,124.0,298,0
Female,25,1,23.0,1,< 1 Year,No,22989.0,152.0,104,0
Female,69,1,28.0,0,> 2 Years,Yes,40264.0,124.0,150,0
Male,29,1,46.0,1,< 1 Year,No,24306.0,152.0,36,0
Female,49,1,24.0,0,1-2 Year,No,42210.0,124.0,197,0
Female,21,1,36.0,1,< 1 Year,No,2630.0,160.0,90,0
Female,49,1,28.0,0,1-2 Year,No,39800.0,26.0,76,0
Male,21,1,43.0,0,< 1 Year,Yes,2630.0,163.0,165,0
Female,42,1,8.0,0,1-2 Year,Yes,50924.0,7.0,264,0
Male,66,1,28.0,1,1-2 Year,No,24705.0,122.0,94,0
Male,47,1,8.0,1,1-2 Year,No,26492.0,7.0,128,0
Male,28,1,45.0,1,< 1 Year,Yes,36587.0,152.0,42,0
Male,22,1,8.0,1,< 1 Year,No,51892.0,152.0,183,0
Female,50,1,0.0,0,1-2 Year,Yes,2630.0,124.0,253,0
Male,53,1,28.0,0,1-2 Year,No,49911.0,26.0,203,0
Male,24,1,37.0,0,< 1 Year,Yes,25023.0,152.0,101,0
Female,29,1,50.0,0,< 1 Year,Yes,34320.0,124.0,130,0
Male,39,1,28.0,0,1-2 Year,Yes,34832.0,60.0,202,0
Male,21,1,26.0,0,< 1 Year,Yes,2630.0,160.0,58,0
Male,24,1,8.0,1,< 1 Year,No,60140.0,152.0,269,0
Male,20,1,8.0,1,< 1 Year,No,51470.0,160.0,139,0
Female,25,1,27.0,1,< 1 Year,No,25230.0,152.0,249,0
Male,44,1,5.0,0,1-2 Year,Yes,2630.0,26.0,112,0
Female,37,1,33.0,1,1-2 Year,No,30283.0,152.0,299,0
Female,43,1,41.0,0,1-2 Year,Yes,14510.0,155.0,203,0
Male,35,1,11.0,0,1-2 Year,Yes,2630.0,156.0,47,0
Male,41,1,46.0,1,1-2 Year,No,27117.0,26.0,44,0
Male,22,1,15.0,1,< 1 Year,No,35647.0,152.0,176,0
Female,25,1,47.0,1,< 1 Year,No,2630.0,160.0,191,0
Female,74,1,28.0,1,1-2 Year,No,31619.0,124.0,122,0
Male,56,1,28.0,0,1-2 Year,Yes,30724.0,124.0,263,0
Female,43,1,48.0,1,1-2 Year,No,2630.0,15.0,75,0
Male,49,1,11.0,0,1-2 Year,Yes,37355.0,124.0,273,0
Male,38,1,4.0,1,1-2 Year,No,54598.0,124.0,68,0
Male,23,1,40.0,0,< 1 Year,Yes,38415.0,152.0,296,0
Male,44,1,28.0,0,> 2 Years,Yes,2630.0,129.0,288,0
Male,20,1,30.0,0,< 1 Year,Yes,25362.0,160.0,14,0
Male,47,1,6.0,0,1-2 Year,Yes,25379.0,157.0,86,0
Female,24,1,45.0,1,< 1 Year,No,20534.0,152.0,193,0
Male,44,1,36.0,1,1-2 Year,No,40669.0,152.0,241,0
Male,43,1,16.0,1,1-2 Year,No,38670.0,124.0,24,0
Female,40,1,15.0,0,1-2 Year,Yes,36745.0,124.0,281,0
Male,22,1,8.0,1,< 1 Year,No,34384.0,152.0,260,0
Male,51,1,8.0,1,1-2 Year,No,24680.0,7.0,14,0
Male,25,1,47.0,0,< 1 Year,Yes,33203.0,152.0,287,0
Male,54,1,28.0,0,> 2 Years,Yes,52748.0,26.0,78,0
Male,59,1,19.0,0,1-2 Year,Yes,31203.0,124.0,69,0
Male,57,1,0.0,1,1-2 Year,No,2630.0,122.0,108,0
Female,23,1,9.0,0,< 1 Year,Yes,29668.0,26.0,141,0
Female,42,1,28.0,1,1-2 Year,No,49194.0,154.0,163,0
Female,41,1,14.0,1,1-2 Year,No,2630.0,124.0,52,0
Female,40,1,41.0,1,1-2 Year,No,2630.0,124.0,222,0
Male,25,1,8.0,1,< 1 Year,No,39306.0,152.0,14,0
Female,24,1,46.0,1,< 1 Year,No,34384.0,152.0,263,0
Female,41,1,48.0,0,1-2 Year,Yes,2630.0,157.0,265,0
Male,32,1,40.0,1,< 1 Year,No,43208.0,152.0,91,0
Female,23,1,49.0,1,< 1 Year,No,28649.0,152.0,113,0
Male,24,1,8.0,1,< 1 Year,No,33377.0,152.0,170,0
Female,48,1,14.0,0,1-2 Year,Yes,25469.0,26.0,208,0
Male,66,1,28.0,0,1-2 Year,Yes,38022.0,124.0,209,0
Female,46,1,39.0,1,1-2 Year,No,2630.0,124.0,111,0
Male,29,1,30.0,1,< 1 Year,No,2630.0,160.0,169,0
Female,59,1,28.0,0,1-2 Year,Yes,64090.0,55.0,61,0
Male,21,1,36.0,0,< 1 Year,Yes,46869.0,152.0,122,0
Female,24,1,10.0,0,< 1 Year,Yes,25093.0,152.0,167,0
Male,44,1,33.0,0,1-2 Year,Yes,35663.0,124.0,289,0
Male,47,1,33.0,1,1-2 Year,No,32673.0,26.0,120,0
Male,38,1,28.0,0,1-2 Year,No,34454.0,26.0,133,0
Female,21,1,8.0,1,< 1 Year,No,63238.0,152.0,285,0
Female,23,1,28.0,1,< 1 Year,No,52656.0,152.0,222,0
Male,22,1,46.0,1,< 1 Year,No,39380.0,152.0,189,0
Female,33,1,41.0,1,< 1 Year,No,33473.0,152.0,232,0
Female,33,1,21.0,1,1-2 Year,No,34285.0,152.0,251,0
Female,23,1,8.0,1,< 1 Year,No,34826.0,152.0,247,0
Male,23,1,41.0,0,< 1 Year,Yes,24315.0,152.0,251,0
Female,22,1,30.0,1,< 1 Year,No,25570.0,152.0,260,0
Male,50,1,28.0,0,1-2 Year,Yes,50976.0,3.0,70,0
Male,25,1,41.0,1,< 1 Year,No,33828.0,152.0,263,0
Male,63,1,28.0,0,1-2 Year,No,43437.0,124.0,218,0
Male,22,1,8.0,0,< 1 Year,No,45958.0,160.0,195,0
Female,29,1,15.0,1,< 1 Year,No,33061.0,152.0,272,0
Male,22,1,3.0,1,< 1 Year,No,29486.0,152.0,214,0
Male,21,1,46.0,1,< 1 Year,No,27942.0,160.0,256,0
Male,22,1,15.0,1,< 1 Year,No,69197.0,152.0,36,0
Male,62,1,46.0,1,1-2 Year,No,2630.0,124.0,171,0
Male,41,1,28.0,0,1-2 Year,Yes,35641.0,124.0,257,0
Male,66,1,28.0,0,> 2 Years,Yes,2630.0,124.0,77,0
Male,21,1,47.0,0,< 1 Year,No,20527.0,160.0,97,0
Male,22,1,3.0,1,< 1 Year,No,63105.0,152.0,79,0
Male,49,1,46.0,1,1-2 Year,No,26235.0,11.0,76,0
Female,51,1,18.0,1,1-2 Year,No,44117.0,124.0,153,0
Female,21,1,28.0,0,1-2 Year,Yes,44760.0,124.0,109,0
Male,34,1,46.0,1,1-2 Year,No,2630.0,26.0,77,0
Female,34,1,3.0,1,1-2 Year,No,26232.0,26.0,222,0
Male,26,1,28.0,1,< 1 Year,No,47439.0,152.0,53,0
Male,37,1,28.0,0,1-2 Year,Yes,95226.0,24.0,180,0
Female,64,1,28.0,0,1-2 Year,Yes,70720.0,122.0,191,0
Female,22,1,22.0,1,< 1 Year,No,37571.0,152.0,296,0
Male,28,1,8.0,1,< 1 Year,No,40491.0,152.0,62,0
Male,35,1,6.0,0,1-2 Year,Yes,2630.0,157.0,89,0
Male,68,1,41.0,1,1-2 Year,No,23164.0,26.0,223,0
Female,70,1,11.0,1,1-2 Year,No,59020.0,124.0,252,0
Female,23,1,21.0,1,< 1 Year,No,26713.0,152.0,190,0
Male,50,1,28.0,1,1-2 Year,No,41737.0,124.0,186,0
Male,21,1,46.0,1,< 1 Year,No,32730.0,152.0,68,0
Female,27,1,21.0,1,< 1 Year,No,21928.0,152.0,232,0
Male,23,1,49.0,0,< 1 Year,Yes,32049.0,152.0,153,0
Female,23,1,34.0,0,< 1 Year,Yes,29871.0,26.0,263,0
Female,22,1,36.0,1,< 1 Year,No,40950.0,152.0,15,0
Male,70,1,33.0,0,1-2 Year,Yes,34427.0,26.0,195,0
Female,24,1,13.0,1,< 1 Year,No,17066.0,152.0,14,0
Male,47,1,47.0,0,1-2 Year,No,29162.0,152.0,228,0
Female,26,1,47.0,1,< 1 Year,No,31702.0,152.0,279,0
Female,24,1,47.0,1,< 1 Year,Yes,33534.0,152.0,34,0
Male,38,1,48.0,0,1-2 Year,No,2630.0,26.0,132,0
Female,20,1,11.0,1,< 1 Year,No,24804.0,160.0,97,0
Male,61,1,33.0,1,1-2 Year,No,26421.0,138.0,226,0
Female,21,1,30.0,1,< 1 Year,No,26011.0,160.0,14,0
Female,78,1,18.0,1,1-2 Year,Yes,24652.0,30.0,95,0
Female,70,1,51.0,1,1-2 Year,No,2630.0,157.0,179,0
Female,41,1,15.0,1,1-2 Year,No,39066.0,124.0,123,0
Female,24,1,8.0,1,< 1 Year,No,24625.0,152.0,30,0
Female,21,1,46.0,0,< 1 Year,Yes,32126.0,152.0,80,0
Female,25,1,41.0,1,< 1 Year,No,2630.0,152.0,238,0
Female,43,1,28.0,1,1-2 Year,No,24632.0,124.0,250,0
Female,24,1,6.0,0,< 1 Year,Yes,2630.0,152.0,286,0
Male,40,1,28.0,0,1-2 Year,Yes,42703.0,26.0,34,0
Female,43,1,28.0,0,1-2 Year,Yes,39114.0,26.0,204,0
Male,52,1,50.0,0,> 2 Years,Yes,27998.0,124.0,102,0
Male,27,1,33.0,1,< 1 Year,No,39669.0,152.0,49,0
Male,37,1,21.0,0,1-2 Year,No,2630.0,160.0,163,0
Female,24,1,11.0,1,< 1 Year,No,26647.0,152.0,294,0
Female,45,1,28.0,1,1-2 Year,No,33633.0,122.0,50,0
Female,43,1,28.0,0,1-2 Year,Yes,25901.0,26.0,153,0
Female,23,1,21.0,1,< 1 Year,No,31275.0,152.0,57,0
Female,22,1,37.0,1,< 1 Year,No,24214.0,152.0,195,0
Female,42,1,28.0,0,1-2 Year,Yes,38911.0,26.0,54,0
Male,37,1,28.0,0,< 1 Year,No,2630.0,1.0,92,0
Male,61,1,28.0,0,1-2 Year,Yes,61315.0,163.0,143,0
Female,50,1,4.0,0,1-2 Year,Yes,2630.0,124.0,216,0
Male,50,1,28.0,0,1-2 Year,Yes,2630.0,156.0,127,0
Female,23,1,11.0,1,< 1 Year,No,24299.0,152.0,269,0
Male,40,1,28.0,1,1-2 Year,Yes,81320.0,26.0,46,0
Male,43,1,50.0,0,1-2 Year,Yes,49720.0,8.0,264,0
Female,24,1,28.0,1,< 1 Year,No,51594.0,152.0,34,0
Male,45,1,28.0,0,1-2 Year,Yes,36031.0,124.0,151,0
Male,28,1,37.0,1,< 1 Year,No,27941.0,152.0,296,0
Male,40,1,28.0,0,> 2 Years,Yes,2630.0,158.0,216,0
Male,21,1,8.0,0,< 1 Year,No,43445.0,160.0,71,0
Female,25,1,37.0,0,< 1 Year,Yes,19971.0,152.0,200,0
Female,45,1,0.0,0,1-2 Year,Yes,2630.0,124.0,44,0
Male,22,1,46.0,1,< 1 Year,No,30295.0,152.0,242,0
Male,40,1,28.0,0,1-2 Year,Yes,49561.0,26.0,49,0
Male,63,1,28.0,0,1-2 Year,No,39175.0,60.0,198,0
Female,24,1,21.0,1,< 1 Year,No,32634.0,152.0,182,0
Male,43,1,12.0,0,1-2 Year,Yes,2630.0,154.0,262,0
Female,68,1,50.0,0,1-2 Year,Yes,39502.0,8.0,107,0
Female,33,1,46.0,1,< 1 Year,No,34903.0,152.0,175,0
Male,27,1,30.0,1,< 1 Year,No,28589.0,152.0,255,0
Female,34,1,41.0,1,1-2 Year,No,25408.0,120.0,121,0
Female,23,1,8.0,1,< 1 Year,No,51757.0,152.0,281,0
Male,58,1,46.0,1,1-2 Year,No,25499.0,26.0,226,0
Male,51,1,29.0,1,1-2 Year,No,2630.0,124.0,86,0
Female,63,1,39.0,1,1-2 Year,Yes,53812.0,124.0,287,0
Male,23,1,28.0,0,< 1 Year,Yes,25910.0,152.0,235,0
Male,54,1,8.0,1,1-2 Year,No,36079.0,26.0,131,0
Male,37,1,28.0,0,> 2 Years,Yes,72544.0,26.0,66,0
Female,24,1,47.0,0,< 1 Year,No,22579.0,152.0,211,0
Male,21,1,2.0,1,< 1 Year,No,36371.0,152.0,51,0
Female,71,1,29.0,0,> 2 Years,Yes,50980.0,124.0,35,0
Female,45,1,2.0,1,1-2 Year,No,2630.0,156.0,212,0
Female,48,1,28.0,0,1-2 Year,Yes,45920.0,124.0,116,0
Male,28,1,10.0,1,< 1 Year,No,33026.0,152.0,279,0
Male,21,1,16.0,1,< 1 Year,No,29546.0,152.0,253,0
Female,25,1,35.0,1,< 1 Year,No,30840.0,152.0,266,0
Female,22,1,8.0,0,< 1 Year,Yes,48329.0,152.0,193,0
Female,65,1,28.0,1,1-2 Year,No,41398.0,122.0,199,0
Male,41,1,28.0,0,1-2 Year,Yes,34230.0,124.0,26,0
Male,22,1,45.0,1,< 1 Year,No,33386.0,152.0,239,0
Male,21,1,3.0,0,< 1 Year,Yes,27222.0,160.0,38,0
Female,25,1,28.0,1,< 1 Year,No,40029.0,152.0,67,0
Female,24,1,21.0,1,< 1 Year,No,27754.0,152.0,294,0
Male,24,1,50.0,1,< 1 Year,No,50139.0,152.0,81,0
Female,44,1,30.0,0,1-2 Year,No,27290.0,140.0,225,0
Female,23,1,8.0,1,< 1 Year,No,50905.0,152.0,240,0
Male,31,1,35.0,1,< 1 Year,No,28732.0,152.0,286,0
Male,51,1,32.0,1,1-2 Year,No,38185.0,124.0,97,0
Male,49,1,24.0,0,1-2 Year,Yes,37399.0,163.0,142,0
Female,78,1,28.0,1,1-2 Year,No,64249.0,26.0,52,0
Female,34,1,3.0,0,1-2 Year,Yes,29387.0,152.0,194,0
Male,63,1,28.0,0,1-2 Year,Yes,2630.0,157.0,59,0
Male,63,1,29.0,1,1-2 Year,No,43695.0,124.0,21,0
Male,40,1,28.0,0,1-2 Year,Yes,41184.0,124.0,191,0
Male,22,1,3.0,1,< 1 Year,No,19738.0,152.0,20,0
Female,25,1,29.0,1,< 1 Year,No,26419.0,152.0,112,0
Female,49,1,47.0,0,1-2 Year,Yes,49113.0,124.0,27,0
Female,72,1,30.0,1,1-2 Year,No,23112.0,152.0,122,0
Male,24,1,39.0,1,< 1 Year,No,28500.0,152.0,204,0
Male,24,1,24.0,0,< 1 Year,Yes,38352.0,26.0,117,0
Female,29,1,36.0,1,< 1 Year,No,38917.0,152.0,247,0
Male,44,1,28.0,1,1-2 Year,No,48246.0,122.0,228,0
Female,31,1,45.0,0,< 1 Year,Yes,35438.0,152.0,35,0
Female,28,1,41.0,0,< 1 Year,Yes,42615.0,152.0,160,0
Male,55,1,0.0,0,1-2 Year,Yes,2630.0,26.0,78,0
Female,45,1,28.0,1,1-2 Year,No,2630.0,124.0,184,0
Male,21,1,2.0,0,< 1 Year,Yes,25033.0,152.0,116,0
Male,58,1,28.0,0,1-2 Year,Yes,39914.0,55.0,56,0
Male,67,1,43.0,0,1-2 Year,Yes,44071.0,26.0,94,0
Male,46,1,35.0,0,1-2 Year,Yes,2630.0,156.0,187,0
Female,60,1,8.0,1,1-2 Year,No,57260.0,30.0,67,0
Female,59,1,33.0,0,1-2 Year,Yes,38342.0,124.0,127,0
Male,65,1,11.0,1,1-2 Year,No,2630.0,120.0,257,0
Female,24,1,8.0,1,< 1 Year,No,27017.0,152.0,74,0
Female,36,1,31.0,1,1-2 Year,No,2630.0,124.0,154,0
Male,25,1,46.0,1,< 1 Year,No,38366.0,152.0,283,0
Male,60,1,28.0,0,1-2 Year,Yes,47708.0,26.0,12,0
Female,23,1,8.0,1,< 1 Year,No,38764.0,152.0,26,0
Male,43,1,28.0,0,1-2 Year,Yes,24226.0,122.0,204,0
Male,48,1,28.0,0,1-2 Year,Yes,33545.0,124.0,259,0
Male,72,1,43.0,0,1-2 Year,Yes,2630.0,124.0,127,0
Female,25,1,28.0,1,< 1 Year,No,35492.0,152.0,14,0
Female,30,1,41.0,1,< 1 Year,No,30695.0,152.0,138,0
Female,31,1,28.0,0,1-2 Year,Yes,39048.0,156.0,277,0
Male,24,1,8.0,1,< 1 Year,No,37043.0,152.0,288,0
Male,39,1,28.0,1,1-2 Year,No,61881.0,124.0,267,0
Female,25,1,15.0,1,< 1 Year,No,34267.0,152.0,70,0
Male,47,1,13.0,1,1-2 Year,No,2630.0,154.0,258,0
Female,44,1,20.0,1,1-2 Year,No,2630.0,124.0,37,0
Female,46,1,28.0,0,1-2 Year,Yes,47575.0,124.0,43,0
Male,49,1,28.0,1,1-2 Year,No,30723.0,122.0,226,0
Male,23,1,50.0,1,< 1 Year,No,40721.0,152.0,182,0
Male,25,1,28.0,1,< 1 Year,No,44257.0,152.0,51,0
Male,49,1,29.0,0,1-2 Year,Yes,46661.0,124.0,94,0
Female,57,1,50.0,1,1-2 Year,No,54555.0,8.0,100,0
Male,25,1,8.0,1,< 1 Year,No,45438.0,152.0,136,0
Female,28,1,44.0,1,< 1 Year,No,64038.0,152.0,109,0
Male,63,1,28.0,0,1-2 Year,Yes,46107.0,124.0,113,0
Female,43,1,28.0,0,1-2 Year,Yes,54081.0,124.0,113,0
Female,32,1,35.0,1,< 1 Year,No,25006.0,152.0,213,0
Male,34,1,8.0,1,1-2 Year,No,30185.0,152.0,286,0
Female,33,1,28.0,0,1-2 Year,Yes,46059.0,124.0,146,0
Male,33,1,30.0,1,< 1 Year,No,40182.0,152.0,32,0
Male,27,1,8.0,1,< 1 Year,No,2630.0,152.0,150,0
Female,24,1,28.0,1,< 1 Year,No,40896.0,152.0,194,0
Male,54,1,7.0,1,1-2 Year,No,2630.0,26.0,212,0
Female,24,1,16.0,1,< 1 Year,No,34177.0,152.0,252,0
Male,71,1,28.0,1,1-2 Year,No,33086.0,24.0,210,0
Female,22,1,41.0,1,< 1 Year,No,29292.0,160.0,61,0
Female,23,1,29.0,1,< 1 Year,No,37717.0,152.0,204,0
Male,57,1,36.0,1,1-2 Year,No,29242.0,124.0,142,0
Male,71,1,28.0,0,1-2 Year,Yes,57422.0,124.0,201,0
Female,41,1,29.0,0,1-2 Year,No,23849.0,26.0,260,0
Male,28,1,15.0,1,< 1 Year,No,39305.0,152.0,298,0
Female,26,1,15.0,1,< 1 Year,No,23630.0,152.0,161,0
Male,35,1,8.0,0,1-2 Year,Yes,31023.0,157.0,29,0
Male,35,1,50.0,1,1-2 Year,No,23444.0,8.0,233,0
Male,59,1,28.0,1,1-2 Year,No,2630.0,25.0,134,0
Female,25,1,15.0,0,< 1 Year,No,35217.0,152.0,129,0
Female,25,1,8.0,0,< 1 Year,No,59940.0,26.0,78,0
Female,28,1,15.0,1,< 1 Year,No,2630.0,152.0,274,0
Female,44,1,28.0,0,1-2 Year,No,37554.0,124.0,278,0
Female,31,1,28.0,1,< 1 Year,No,45084.0,152.0,49,0
Female,41,1,21.0,1,1-2 Year,No,2630.0,160.0,63,0
Female,24,1,29.0,1,< 1 Year,No,33626.0,152.0,183,0
Male,43,1,8.0,0,1-2 Year,Yes,34449.0,124.0,273,0
Male,49,1,8.0,0,1-2 Year,Yes,36589.0,124.0,72,0
Male,21,1,13.0,1,< 1 Year,No,39305.0,160.0,157,0
Female,60,1,37.0,1,1-2 Year,No,33312.0,124.0,127,0
Female,50,1,6.0,1,1-2 Year,No,15234.0,152.0,153,0
Female,23,1,23.0,1,< 1 Year,No,48379.0,152.0,169,0
Female,22,1,47.0,0,< 1 Year,No,24836.0,152.0,263,0
Female,40,1,38.0,0,1-2 Year,Yes,27003.0,156.0,34,0
Male,60,1,28.0,1,1-2 Year,No,51809.0,26.0,99,0
Male,23,1,8.0,1,< 1 Year,No,31027.0,152.0,31,0
Male,56,1,50.0,1,1-2 Year,No,24530.0,26.0,48,0
Male,54,1,0.0,0,1-2 Year,Yes,2630.0,91.0,190,0
Female,21,1,15.0,0,< 1 Year,Yes,22199.0,152.0,60,0
Female,46,1,28.0,0,1-2 Year,Yes,41266.0,122.0,132,0
Female,23,1,8.0,0,< 1 Year,No,38966.0,151.0,282,0
Male,69,1,43.0,1,1-2 Year,No,2630.0,26.0,24,0
Male,54,1,28.0,0,1-2 Year,Yes,35273.0,124.0,244,0
Male,45,1,28.0,0,1-2 Year,Yes,23946.0,26.0,193,0
Male,69,1,28.0,0,1-2 Year,Yes,54465.0,52.0,143,0
Male,30,1,41.0,1,< 1 Year,No,39396.0,152.0,149,0
Male,68,1,17.0,0,1-2 Year,Yes,39876.0,26.0,175,0
Female,47,1,28.0,1,1-2 Year,No,101938.0,26.0,225,0
Male,28,1,30.0,0,< 1 Year,Yes,20976.0,152.0,290,0
Female,24,1,41.0,1,< 1 Year,No,19620.0,152.0,260,0
Female,34,1,28.0,1,1-2 Year,No,2630.0,26.0,258,0
Female,51,1,17.0,1,1-2 Year,No,2630.0,160.0,33,0
Male,50,1,29.0,0,1-2 Year,Yes,29342.0,124.0,148,0
Male,49,1,50.0,1,1-2 Year,No,30254.0,152.0,189,0
Female,23,1,36.0,1,< 1 Year,No,65001.0,152.0,101,0
Male,23,1,21.0,1,< 1 Year,No,27478.0,152.0,287,0
Male,31,1,18.0,1,< 1 Year,No,36711.0,131.0,241,0
Male,48,1,30.0,0,1-2 Year,Yes,30176.0,124.0,260,0
Male,30,1,28.0,1,< 1 Year,No,26114.0,152.0,117,0
Male,22,1,47.0,1,< 1 Year,No,33302.0,152.0,71,0
Male,61,1,46.0,1,1-2 Year,No,2630.0,4.0,288,0
Female,24,1,13.0,1,< 1 Year,No,26838.0,151.0,67,0
Female,22,1,47.0,1,< 1 Year,No,2630.0,152.0,60,0
Male,55,1,28.0,1,1-2 Year,No,41167.0,25.0,30,0
Female,66,1,28.0,0,1-2 Year,Yes,51096.0,26.0,242,0
Female,25,1,11.0,1,< 1 Year,No,37792.0,152.0,10,0
Female,23,1,28.0,1,< 1 Year,No,28583.0,153.0,228,0
Female,22,1,8.0,0,1-2 Year,Yes,38420.0,26.0,55,0
Male,33,1,3.0,1,< 1 Year,No,21800.0,152.0,281,0
Female,25,1,28.0,1,< 1 Year,No,33047.0,152.0,80,0
Female,47,1,3.0,0,1-2 Year,Yes,41200.0,26.0,181,0
Male,46,1,8.0,0,1-2 Year,Yes,46771.0,124.0,247,0
Female,23,1,41.0,1,< 1 Year,No,40178.0,160.0,202,0
Male,39,1,28.0,1,1-2 Year,No,38187.0,24.0,247,0
Male,32,1,28.0,0,< 1 Year,Yes,2630.0,152.0,170,0
Female,51,1,20.0,0,1-2 Year,Yes,2630.0,124.0,168,0
Male,24,1,3.0,0,< 1 Year,Yes,2630.0,152.0,139,0
Male,22,1,49.0,0,< 1 Year,Yes,33137.0,152.0,48,0
Male,25,1,50.0,1,< 1 Year,No,42052.0,152.0,135,0
Female,41,1,28.0,1,1-2 Year,No,28728.0,152.0,261,0
Female,27,1,29.0,1,< 1 Year,No,46796.0,152.0,224,0
Male,39,1,28.0,1,1-2 Year,No,38972.0,124.0,181,0
Female,54,1,28.0,0,1-2 Year,Yes,47463.0,61.0,204,0
Female,40,1,41.0,1,1-2 Year,No,26659.0,152.0,68,0
Female,29,1,50.0,1,< 1 Year,No,14244.0,151.0,15,0
Female,20,1,30.0,0,< 1 Year,Yes,49207.0,160.0,186,0
Male,75,1,46.0,0,> 2 Years,Yes,34859.0,26.0,199,0
Male,42,1,50.0,1,1-2 Year,No,38548.0,8.0,33,0
Male,21,1,46.0,1,< 1 Year,No,27738.0,160.0,291,0
Female,26,1,33.0,1,< 1 Year,No,30883.0,152.0,89,0
Male,58,1,24.0,1,1-2 Year,No,29522.0,145.0,133,0
Female,70,1,28.0,1,1-2 Year,No,34413.0,26.0,243,0
Female,25,1,10.0,1,< 1 Year,No,24723.0,152.0,115,0
Female,22,1,46.0,1,< 1 Year,No,23772.0,152.0,124,0
Male,22,1,34.0,1,< 1 Year,No,2630.0,152.0,282,0
Female,44,1,28.0,1,1-2 Year,No,33376.0,26.0,134,0
Male,28,1,4.0,1,< 1 Year,No,2630.0,152.0,235,0
Male,26,1,7.0,1,< 1 Year,No,2630.0,152.0,286,0
Male,24,1,47.0,1,< 1 Year,No,36061.0,152.0,127,0
Male,22,1,46.0,1,< 1 Year,No,37409.0,152.0,170,0
Female,24,1,50.0,1,< 1 Year,No,32997.0,152.0,104,0
Female,24,1,45.0,1,< 1 Year,No,33378.0,152.0,152,0
Female,21,1,29.0,1,< 1 Year,No,33464.0,152.0,91,0
Female,78,1,48.0,1,1-2 Year,Yes,2630.0,26.0,28,0
