anime_id,name,type,episodes,rating
33993,300 En no Otsukiai,OVA,Unknown,6.53
14947,Onegai My Melody: Yuu &amp; Ai,Movie,1,5.73
33240,Chi&#039;s Sweet Home (2016),TV,Unknown,6.57
1014,Chicchana Yukitsukai Sugar Specials,Special,2,7.09
4614,Moero Arthur: Hakuba no Ouji,TV,22,6.37
8277,Hyakka Ryouran: Samurai Girls,TV,12,7.01
31687,◯,ONA,1,4.22
4447,Detective Conan Movie 12: Full Score of Fear,Movie,1,7.94
26101,Boku to Gaku: Ano Natsu no Monogatari,OVA,1,7.2
33025,Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,Movie,1,7.0
3691,Watashi to Watashi: Futari no Lotte,TV,29,6.53
8248,Soukou Kihei Votoms: Case; Irvine,OVA,1,6.69
25871,Hello Kitty to Issho,OVA,16,6.04
1338,Shin Megami Tensei: Tokyo Mokushiroku,OVA,2,5.71
1589,Bartender,TV,11,7.5
13513,Anima,Movie,1,5.12
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,8.6
420,Spriggan,Movie,1,6.81
9521,Tie Shan Gongzhu,Movie,1,5.88
33705,Mameshiba the DVD Green Pea-shiba no Kutsujoku,OVA,4,5.5
16614,Busou Shinki OVA,OVA,1,6.65
5760,Dororo to Hyakkimaru,TV,26,7.25
2488,Mei to Koneko Bus,Special,1,7.47
9792,Licca-chan Fushigi na Fushigi na Yunia Monogatari,OVA,2,6.42
1748,Piyoko ni Omakase pyo!,OVA,8,6.86
7270,Mobile Suit Gundam 00 Special Edition,OVA,3,7.77
1659,Mai-Otome Specials,Special,9,7.14
31539,Kyoufu! Zombie Neko,TV,Unknown,5.71
30976,Kiminari Dousuru? Yuukai Itazura: Sarenai Tame ni,OVA,1,7.0
29718,Kumo no Ito (Special),Special,1,6.6
24437,World Fool News,ONA,6,5.7
32864,JK to Ero Konbini Tenchou,OVA,Unknown,6.57
13089,Hana to Mogura,Movie,1,5.76
3752,Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu,Movie,1,7.2
2688,Akai Koudan Zillion,TV,31,6.9
1141,Palme no Ki,Movie,1,6.62
4342,Harukoi Otome,OVA,2,6.73
4664,Rurouni Kenshin: Special Techniques,Special,1,7.43
3264,Lemon Angel (1988/II),TV,8,6.05
1843,Yomigaeru Sora: Rescue Wings Special,Special,1,7.08
11691,Bloody Date,ONA,1,4.66
9600,G-Taste (2010),OVA,1,5.49
9356,Cool Cool Bye,OVA,1,5.41
13681,Nekogami Yaoyorozu Specials,Special,7,6.4
6116,Mainichi Kaasan,TV,142,7.71
25383,Doraemon Movie 35: Nobita no Space Heroes,Movie,1,6.91
32797,Shenmi Shijie Lixian Ji 2,Movie,1,6.75
6637,Higashi no Eden Movie II: Paradise Lost,Movie,1,7.78
32214,Koukaku no Pandora,TV,12,6.66
2691,Gensei Shugoshin P-hyoro Ikka,Movie,1,6.0
19947,Ikkyuu-san (1978),TV,26,7.23
24259,Mechano: Scientific Attack Force,OVA,3,2.55
4825,Tenkousei,OVA,4,5.96
2133,Mari Iyagi,Movie,1,6.45
3922,Reiju Gakuen,OVA,2,5.82
34312,Saimin Class,OVA,Unknown,
6682,11eyes,TV,12,6.49
310,"Chiisana Obake Acchi, Kocchi, Socchi",TV,50,6.17
1298,Project A-Ko 4: Final,OVA,1,6.65
21277,Yawaraka Atom,ONA,7,4.5
8,Beet the Vandel Buster,TV,52,7.06
32094,Reikenzan: Hoshikuzu-tachi no Utage,TV,12,7.2
5419,Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,Special,1,7.65
1850,Haou Daikei Ryuu Knight: Adeu Legend II,OVA,3,6.34
6811,InuYasha: Kanketsu-hen,TV,26,8.37
33132,Shin Kachikachi Yama,Movie,1,7.5
19209,Devour Dinner,Movie,1,5.39
54,Appleseed (Movie),Movie,1,7.21
10823,Ranma ½: 1994 Music Calendar,OVA,1,6.83
5226,Souten Kouro,TV,26,7.41
5344,Time Bokan Series: Itadakiman,TV,20,6.37
1582,Submarine 707R,OVA,2,6.34
33193,Shi Wan Ge Leng Xiaohua,ONA,12,6.67
20955,Peeping Life: YouTuber-kun,ONA,4,4.87
6154,Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa,Special,2,7.93
2499,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,Movie,1,7.78
27949,Mattsu to Yanma to Moburi-san: Nanatsu no Hihou to Soratobu Oshiro,ONA,1,5.56
4786,Kodomo no Jikan Recap,OVA,1,7.09
474,Macross Plus,OVA,4,7.82
6331,Ten Little Gall Force,OVA,1,6.44
16552,Heong-geuli Beseuteu 5,Movie,1,4.5
3194,Ningyohime Marina no Bouken,TV,26,6.57
15227,Kono Sekai no Katasumi ni,Movie,1,8.14
20001,Mouretsu Atarou,TV,90,6.33
17657,Chibi Neko Tomu no Daibouken: Chikyuu wo Sukue! Nakama-tachi,Special,1,6.4
22481,Hello Kitty no Kieta Santa-san no Boushi,OVA,1,6.55
9732,Full Moon Party,Music,1,6.01
27579,Mii-chan no Tenohira,Movie,1,8.33
33244,Kiitarou Shounen no Youkai Enikki,TV,12,5.97
2980,Kuusou Kagaku Sekai Gulliver Boy,TV,50,6.77
30519,Ba La La Xiao Mo Xian Zhi: Caihong Xin Shi,TV,36,6.28
1095,Mobile Police Patlabor: The Movie,Movie,1,7.59
17787,Ouritsu Uchuugun: Honneamise no Tsubasa - Pilot Film,Special,1,6.15
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,TV,13,7.27
5049,Onmyouji: Youen Emaki,OVA,2,5.85
1033,Sennen Joyuu,Movie,1,8.34
12437,Yuri Seijin Naoko-san (2012),OVA,1,6.66
974,Dead Leaves,Movie,1,7.28
33154,Osiris no Tenbin: Season 2,ONA,11,6.08
1990,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,Movie,1,6.19
30342,Funassyi no Funafunafuna Biyori,TV,130,6.86
1978,Onkyo Seimeitai Noiseman,Movie,1,6.7
33703,Chao Shen Youxi,ONA,25,6.5
3317,Uchuusen Sagittarius,TV,77,6.99
1833,Hyper-Psychic Geo Garaga,Movie,1,5.33
9344,Torajima no Miime,Special,2,6.52
24781,Imawa no Kuni no Alice (OVA),OVA,3,7.7
865,Kikou Senki Dragonar,TV,48,6.86
15819,Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,OVA,2,7.04
23321,Log Horizon 2nd Season,TV,25,7.66
29759,Korokoro Animal 2,TV,51,4.67
15845,Chikan no Licence,OVA,2,6.27
1942,Rocket Girls,TV,12,7.03
3214,Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,OVA,1,6.35
19115,Giovanni no Shima,Movie,1,7.86
30139,Manga Doushite Monogatari OVA,OVA,2,5.44
5071,Croket!,TV,52,7.12
29716,Ginga Tetsudou 999: Shounen no Tabidachi to Wakare,Special,1,6.22
27727,Binan Koukou Chikyuu Bouei-bu LOVE!,TV,12,7.11
21995,Ao Haru Ride,TV,12,7.89
584,Noein: Mou Hitori no Kimi e,TV,24,7.74
26289,Hage,OVA,1,6.43
7032,Kitte no Gensou,Movie,1,5.0
8965,Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono,OVA,1,6.6
30095,Qi Cai Lao Fu Zi,Movie,1,6.78
30909,vivi,Music,1,6.05
467,Ghost in the Shell: Stand Alone Complex,TV,26,8.47
10950,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D - Tachikoma no Hibi,Special,3,7.07
2305,Mobile Suit SD Gundam Mk III,OVA,6,6.12
2503,Nangoku Shounen Papuwa-kun,TV,42,6.56
3164,Ichigo Ichie: Koibana Tomobana,TV,13,7.1
2650,"Doraemon Movie: Boku, Momotarou no Nanna no Sa",Movie,1,6.77
31001,Mirai Kara no Message,OVA,1,7.75
1006,Tenchi Muyou! in Love,Movie,1,7.52
485,Damekko Doubutsu,TV,26,7.43
33797,ID-0,OVA,Unknown,
29515,Happy ComeCome,Movie,1,5.65
1909,Kusatta Kyoushi no Houteishiki,OVA,2,6.26
24773,Norasco,ONA,Unknown,4.75
6117,Gokujou!! Mecha Mote Iinchou,TV,51,6.73
8158,Gegege no Kitarou: Jigoku-hen,TV,7,6.23
540,Tenchi Muyou! Ryououki 2nd Season,OVA,6,7.78
14199,Oniichan dakedo Ai Sae Areba Kankeinai yo ne!,TV,12,6.78
9968,Wana: Hakudaku Mamire no Houkago,OVA,2,6.62
2655,Doraemon Movie 23: Nobita to Robot Kingdom,Movie,1,7.33
1667,Barom One,TV,13,5.67
1914,Saiunkoku Monogatari 2nd Season,TV,39,8.2
288,Bakuten Shoot Beyblade,TV,51,6.81
22633,Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland Specials,Special,2,3.94
11659,Pink Mizu Dorobou Ame Dorobou,Movie,1,5.7
9969,Gintama&#039;,TV,51,9.16
31265,Shashinki 87,Movie,1,3.41
16526,Ranpou,TV,21,6.67
9667,Super Speed,Music,1,5.88
14967,Boku wa Tomodachi ga Sukunai Next,TV,12,7.7
21521,Futabu!,OVA,2,7.2
6172,Layton Kyouju to Eien no Utahime,Movie,1,7.69
10161,No.6,TV,11,7.76
2706,Bakusou Kyoudai Let&#039;s &amp; Go WGP,TV,51,7.07
14989,Chousoku Henkei Gyrozetter,TV,51,6.58
1577,Taiho Shichau zo,OVA,4,7.51
12803,Chinkoroheibei Tamatebako,Movie,1,5.05
28749,Heijoukyou: Yasukerashi Miyako,Movie,1,7.0
12371,Bosco no Mori no Nakama-tachi,Special,1,5.55
1184,Lost Universe,TV,26,7.1
6472,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,TV,35,6.63
8675,Seitokai Yakuindomo,TV,13,7.71
1210,NHK ni Youkoso!,TV,24,8.4
17157,Nozoki Ana,OVA,1,6.63
31239,Kotori Samba,TV,240,6.75
6704,Queen&#039;s Blade: Rurou no Senshi Specials,Special,6,6.11
6979,Shukufuku no Campanella,TV,12,6.41
3159,The Kabocha Wine,TV,95,6.92
24,School Rumble,TV,26,8.06
19501,Giga Tribe,TV,39,5.5
19981,Shisukon Ouji,TV,14,7.0
29483,Rainbow no Anime Bako,Special,1,3.86
11341,Tantei Opera Milky Holmes Dai 2 Maku,TV,12,7.3
13463,Panda no Taputapu,TV,Unknown,6.55
9611,Aa! Megami-sama! (2011),OVA,3,7.45
10429,Otoko no Ko Ojousama,OVA,1,6.22
8471,Naoko no Tropic Angel: Hyouryuu,OVA,1,5.74
506,Glass no Kamen,TV,23,7.52
5773,69 Pink Riders 2,OVA,1,5.17
31593,Rokka no Yuusha Picture Drama,Special,3,6.68
28089,Oyo Neko Bunyan,TV,31,6.0
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,OVA,2,6.62
31070,Etotama Specials,Special,6,6.64
23007,Ookami Shounen Ken (Movie),Movie,1,4.0
1758,Di Gi Charat Tsuyu Specials,Special,2,6.8
331,Mahoujin Guru Guru,TV,45,7.75
23387,Master of Torque,ONA,4,5.25
18591,Sore Ike! Anpanman: Inochi no Hoshi no Dolly,Movie,1,5.55
893,Dragon Ball Movie 4: Saikyou e no Michi,Movie,1,7.33
18283,Sonyeon 007 Eunhateukgongdae,Movie,1,3.42
31749,Chou Kidougai-ku: Kashiwa-no-Ha,ONA,3,4.86
17317,Pro Golfer Saru: Super Golf World e no Chousen!!,Movie,1,5.6
15609,"Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito",OVA,1,6.91
16512,Devil Survivor 2 The Animation,TV,13,7.06
1495,Maetel Legend,OVA,2,6.56
2269,Mobile Suit Gundam Seed Special Edition,Special,3,7.46
31310,Ishikeri,Movie,1,5.81
1347,Bubblegum Crisis,OVA,8,7.36
30393,Hana no Hanashi,Movie,1,5.3
3462,Minky Momo in Yume ni Kakeru Hashi,OVA,1,7.0
12665,"Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal",Special,1,6.13
30268,Huang Feihong Yong Chuang Tianxia,Movie,1,5.17
30430,Kimi wa Sou Kimeta,Music,1,5.3
31733,Bishoujo Senshi Sailor Moon Crystal Season III,TV,13,7.83
20499,Maji,OVA,3,6.17
22455,Hello Kitty no Circus ga Yatte Kita,OVA,1,6.51
9522,Zero Tester: Chikyuu wo Mamore!,TV,28,5.23
14623,Chikyuu SOS Sore Ike Kororin,TV,26,5.78
3384,Mi-da-ra,OVA,3,5.88
6666,Passion,Music,1,6.78
22177,Madonna (Movie),Movie,1,4.0
26035,Sweet Spot,OVA,1,7.0
1152,New Dominion Tank Police,OVA,6,7.06
18573,Noobow,TV,26,6.25
31812,Kuroshitsuji Movie: Book of the Atlantic,Movie,1,
3950,Injuu Daikessen,OVA,1,5.47
6169,Tenjou-jin to Akuto-jin Saigo no Tatakai,Movie,1,7.3
2859,Ikusa Otome Valkyrie Shinshou,OVA,2,6.28
8533,Hana no Kage,ONA,1,6.37
2003,Tokyo Vice,OVA,1,5.56
1010,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,Movie,1,7.5
22329,Daisougen to Hakuba,OVA,1,6.83
6280,Cat Shit One,ONA,1,7.22
30214,A Smart Experiment,Special,1,4.03
16774,Inferno Cop,ONA,13,7.32
1594,Jigoku Shoujo Futakomori,TV,26,8.08
23673,Ookami Shoujo to Kuro Ouji,TV,12,7.47
22689,Terra Formars: Bugs 2-hen,OVA,2,7.27
24789,Shoko Nakagawa Prism Tour Special,Special,1,5.55
14355,Yama no Susume,TV,12,6.83
23627,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,Special,13,6.77
10044,Brave Fire S0.9,Special,1,5.88
12881,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,OVA,4,6.08
29,Zipang,TV,26,7.56
25491,Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World,Special,1,4.94
16159,Mirai Kara Kita Shounen Super Jetter,TV,52,5.43
5712,Tanoshii Muumin Ikka Bouken Nikki,TV,26,7.56
22419,Acchi Kocchi,Movie,1,7.59
32547,Non Non Biyori Repeat OVA,OVA,1,7.86
5900,Jean Valjean Monogatari,Special,1,6.46
15125,Teekyuu,TV,12,6.77
2694,Hidamari no Ki,TV,25,6.27
23733,Kosys! Kochira Keihime Tetsudou: Kouhou System-ka,ONA,2,4.6
29741,Shitamachi Alien PapiPipiPupi,ONA,13,7.0
2521,Haja Kyosei G Dangaiou,TV,13,5.52
10219,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special,Special,1,6.46
1417,Lupin III: Moeyo Zantetsuken!,Special,1,7.25
8394,Cyborg 009 (TV),TV,26,7.14
32596,The Snack World (TV),TV,Unknown,
8311,Tegamibachi Reverse,TV,25,7.9
2951,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Special,1,8.13
2311,Shounen Kenya,Movie,1,5.85
28811,Last Exile: Doyou no Asa,Special,3,6.17
26449,Akame ga Kill! Recap,Special,1,6.91
33493,Promised Town,ONA,1,5.28
26015,Backkom: Jung-gug Gijeogwi,Special,1,5.66
3044,Tetsuwan Atom (1980),TV,52,7.26
25987,Tensai Bakavon: Yomigaeru Flanders no Inu,Movie,1,5.75
6231,Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata,OVA,1,7.57
7573,Bakunyuu Bomb,OVA,3,6.15
3963,Turn A Gundam I Movie: Earth Light,Movie,1,6.72
24793,Bloody Bunny,TV,26,5.26
6827,Suzume no Oyado,Movie,1,5.34
2339,Youjuu Kyoushitsu Gaiden,OVA,4,5.72
7645,Heartcatch Precure!,TV,49,7.89
33024,Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa,Special,1,6.42
6935,Enkinhou no Hako: Hakase no Sagashimono,Special,1,5.35
16636,Kotoura-san: Haruka no Heya,ONA,6,6.01
3267,Kingdom of Chaos: Born to Kill,OVA,4,6.02
5473,Tsuri Baka Nisshi,TV,36,6.78
2217,Hand Maid May Special,Special,1,6.85
15879,Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,Special,7,6.78
30931,Usagi to Kame no Koutsuu Anzen,OVA,1,6.0
3847,Sekai Meisaku Douwa: Hakuchou no Ouji,Movie,1,7.09
11531,UN-GO: Inga-ron,Movie,1,7.74
507,Gravitation: Lyrics of Love,OVA,2,7.12
1370,Atama Yama,Movie,1,6.65
33011,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,ONA,12,5.99
3088,Tokyo Marble Chocolate,OVA,2,7.38
6857,Momotarou no Umiwashi,Movie,1,5.18
2394,Ma ga Ochiru Yoru,OVA,3,6.59
30625,Princess Princess Specials,Special,12,6.75
202,Wolf&#039;s Rain,TV,26,7.93
2945,Hitozuma Ryoujoku Sankanbi,OVA,2,6.44
20843,"Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music... Specials",Special,2,6.86
22849,Nyamen,TV,12,5.62
2722,Crusher Joe: The Movie,Movie,1,7.01
2315,Injuu Alien,OVA,1,5.42
7619,Gegege no Kitarou (1996),TV,114,6.79
2899,Higurashi no Naku Koro ni Special: Nekogoroshi-hen,Special,1,7.32
19513,Toki-iro Kaima,OVA,4,5.13
266,Gunparade March: Arata Naru Kougunka,TV,12,6.96
9000,Toaru Hikuushi e no Tsuioku,Movie,1,7.79
423,Stratos 4 Advance,OVA,6,6.95
10923,Tantei Opera Milky Holmes: Summer Special,Special,1,7.05
23033,Furueru Kuchibiru,OVA,1,6.82
20143,Kazu &amp; Yasu Hero Tanjou,Movie,1,6.67
2698,Sanctuary,OVA,1,6.5
30705,Makura no Danshi,TV,12,4.93
6384,Ippon Bouchou Mantarou,OVA,2,6.2
25907,Glass no Hana to Kowasu Sekai,Movie,1,6.97
1720,To Heart 2 OVA,OVA,3,7.05
5172,Love Selection The Animation,OVA,2,6.92
744,Trouble Chocolate,TV,20,6.69
32511,Girls und Panzer: Nihon Senshadou Renmei News,Special,2,6.69
1892,YAT Anshin! Uchuu Ryokou 2,TV,25,7.07
11729,Space Neko Theater,ONA,1,5.38
2671,Doraemon Movie 03: Nobita no Daimakyou,Movie,1,7.32
32747,Fake Style II,Music,1,6.14
552,Digimon Adventure,TV,54,7.89
17965,Tetsuwan Atom: Ao Kishi no Kan,Movie,1,6.04
10520,Nurse Witch Komugi-chan Magikarte Z Special,Special,1,5.8
9325,Shin Seiki Cream Lemon,OVA,2,6.0
29657,Stone,Movie,1,4.13
19987,Kaitou Pride,TV,105,6.75
32924,Urara Meirochou,TV,Unknown,
2079,Majuu Senshi Luna Varga,OVA,4,6.09
22647,Kero Kero Keroppi no Sora Tobu Yume no Fune,OVA,1,6.62
27967,Senran Kagura: Estival Versus - Shoujo-tachi no Sentaku,OVA,1,6.59
21393,Shiiba-san no Ura no Kao. with Imouto Lip,OVA,1,6.61
29979,Petting a Dog,ONA,1,3.88
16273,Acchi Kocchi (TV): Place=Princess,Special,1,7.62
11689,CCW: Crazy Clay Wrestling,ONA,1,3.68
8995,Tales of Symphonia The Animation: Sekai Tougou-hen,OVA,3,7.66
2042,Five Star Stories,Movie,1,6.78
634,Koi Kaze,TV,13,7.34
1681,Brave Story,Movie,1,7.58
30941,Utsukushii Message,OVA,1,8.33
30752,himitsukesshatakanotsume.jp Specials,Special,2,6.0
27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,TV,10,7.39
17277,Code Geass: Soubou no Oz Picture Drama,OVA,5,6.61
13843,Wild Adapter,OVA,2,6.36
29807,Honoo no Haramase Paidol My★Star Gakuen Z The Animation,OVA,1,7.08
32385,Project HAL,ONA,3,5.96
131,Saiyuuki Reload Gunlock,TV,26,7.56
31973,Mobile Suit Gundam Thunderbolt,ONA,4,8.0
25627,"&quot;Aesop&quot; no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",Movie,1,5.0
14575,Minami-ke Omatase,OVA,1,7.47
899,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,Movie,1,7.09
30177,Ninja Hattori-kun (2012) Special,Special,1,5.81
863,Joshikousei: Girl&#039;s High,TV,12,6.69
3764,Chouon Senshi Borgman 2: Shin Seiki 2058,OVA,3,6.14
2261,Malice@Doll,OVA,3,5.92
5109,Osananajimi to Doukyuusei,OVA,2,5.99
3229,Kimi ga Aruji de Shitsuji ga Ore de,TV,13,7.35
3110,Kaze no Naka no Shoujo: Kinpatsu no Jeanie,TV,52,7.17
3706,Seikoujo: Haitoku no Biden Dorei,OVA,2,6.08
16748,"Fly, Space Battleship Geobukseon",Movie,1,4.11
10098,Kobato.: Hajimete no Kobato.,Special,8,6.88
10319,Chou Dendou Robo Tetsujin 28-gou FX,TV,47,6.53
150,Blood+,TV,50,7.8
9433,A-jang.com,TV,13,5.57
3982,Kairaku Satsujin Chousakan Kouji,OVA,3,5.94
2112,Over Drive,TV,26,7.78
30410,Gon 2nd Season,TV,26,5.92
7791,K-On!!,TV,26,8.14
1198,Tsuyokiss,TV,12,6.73
4050,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,TV,52,6.78
33727,Neko no Dayan: Fushigi Gekijou,TV,Unknown,4.25
23713,Nagareboshi no Okurimono,OVA,1,6.29
30427,Mr. Empty,Music,1,5.01
19193,Ghost in the Shell: Arise - Border:3 Ghost Tears,Movie,1,7.52
2542,Lady Georgie,TV,45,7.28
31476,Wake up!! Tamala,Movie,1,5.54
34451,Kekkai Sensen &amp; Beyond,TV,Unknown,
1902,Happiness!: Watarase Jun no Kareinaru Ichinichi,OVA,1,6.89
30027,Meisaku World,TV,39,8.0
7745,Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,OVA,1,7.36
13137,Itsuka Tenma no Kuro Usagi Special,Special,1,6.52
4688,Minna Agechau♡,OVA,1,6.03
2713,Rockman.EXE Beast+,TV,26,7.11
22255,Kanojo no Dokushinshatachi ni Yotte Hadaka ni Sareta Seifuku no Shojo Kenkyuu,Movie,1,3.83
4490,Soap no Moko-chan,OVA,1,6.3
19755,Oshiri Kajiri Mushi (TV) 2nd Season,TV,32,5.53
2505,Ringetsu The Animation,OVA,3,6.79
7666,Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,Movie,1,6.72
4822,Pendant,OVA,3,5.57
22273,Selector Infected WIXOSS,TV,12,7.41
3905,Wanpaku Ouji no Orochi Taiji,Movie,1,6.5
4566,Prism Ark Specials,Special,6,6.3
5862,Fumoon,Special,1,6.34
26325,Minna Ichiban!,OVA,1,6.0
20241,Manga Hana no Kakarichou,Movie,1,7.33
18097,Inazuma Eleven Go: Galaxy,TV,43,7.11
17979,Kiki to Lala no Papa to Mama ni Aitai,OVA,1,4.88
10241,Sekai Monoshiri Ryoko,TV,1006,5.92
4703,Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,Movie,1,7.45
4053,Prince of Tennis: The National Tournament Finals,OVA,7,8.15
31874,2002-nen Harmoni Ondo,Music,1,4.77
23313,Zettai Zetsumei Dangerous Jiisan,TV,33,5.82
19629,Zecchou Rocket,OVA,2,6.26
855,Strawberry Panic,TV,26,7.45
33221,Mobile Suit Gundam Thunderbolt: December Sky,Movie,1,7.92
374,Bannou Bunka Neko-Musume DASH!,OVA,12,6.54
9167,Shukufuku no Campanella Specials,Special,6,5.96
17505,Mushibugyou,TV,26,7.47
543,Vampire Hunter D (2000),Movie,1,7.95
32811,Black Ocean,Music,1,5.38
1403,Tsumamigui,OVA,2,6.55
2055,Coo: Tooi Umi kara Kita Coo,Movie,1,7.01
5316,Rape! Rape! Rape!,OVA,3,6.03
14131,Girls und Panzer,TV,12,7.66
9284,Bakuhatsu Gorou,TV,26,5.74
8577,Aki-Sora: Yume no Naka,OVA,2,6.41
13117,Hakuouki Movie 1: Kyoto Ranbu,Movie,1,7.94
3882,Seijuuki Cyguard,OVA,1,5.37
31563,"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku",Special,1,7.12
4316,Nanami-chan 3rd Series,TV,16,6.58
